control_id,template,line,kind,tag,label_or_expression,element_id,name,type,destination_or_expression,form_action,form_method,handlers,explicit_disabled,review_candidates,functional_status
CONTROL-00177,templates/pages/admin/user_detail.html,134,field,input,{{ r }},,additional_roles,checkbox,,                                                ,POST,{},False,,Not individually executed
CONTROL-00178,templates/pages/admin/user_detail.html,152,field,select,Primary district,,primary_district,,,                                                ,POST,{},False,,Not individually executed
CONTROL-00179,templates/pages/admin/user_detail.html,168,field,input,{{ d.id }},,additional_districts,checkbox,,                                                ,POST,{},False,,Not individually executed
CONTROL-00180,templates/pages/admin/user_detail.html,183,button,button,Save Profile Updates,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00181,templates/pages/admin/user_detail.html,240,field,input,{{ person.id }},manager-{{ member.id }}-staff-{{ person.id }},managed_staff_ids,checkbox,,                                                ,POST,{},False,,Not individually executed
CONTROL-00182,templates/pages/admin/user_detail.html,259,button,button,Save managed people,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00183,templates/pages/admin/user_detail.html,298,button,button,Send Invitation Link,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00184,templates/pages/admin/user_detail.html,312,button,button,Unlock Account,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00185,templates/pages/admin/user_detail.html,326,button,button,Deactivate User Account,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00186,templates/pages/admin/user_detail.html,337,button,button,Activate User Account,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00187,templates/pages/admin/user_detail.html,376,field,input,Enter new password for user,,new_password,password,,                                                ,POST,{},False,,Not individually executed
CONTROL-00188,templates/pages/admin/user_detail.html,385,button,button,Reset Password,,,submit,,                                                ,POST,{},False,,Not individually executed
CONTROL-00189,templates/pages/admin/users.html,33,button,button,Add Partner,,,button,/partners/create,,,"{""hx-get"": ""/partners/create"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00190,templates/pages/admin/users.html,46,button,button,Add User,,,button,,,,"{""@click"": ""showAddModal = true""}",False,,Not individually executed
CONTROL-00191,templates/pages/admin/users.html,115,link,a,{{ partner.name }},,,,/partners/{{ partner.id }},,,{},False,,Not individually executed
CONTROL-00192,templates/pages/admin/users.html,120,link,a,{{ partner.email }},,,,mailto:{{ partner.email }},,,{},False,,Not individually executed
CONTROL-00193,templates/pages/admin/users.html,138,button,button,Deactivate {{ partner.name }},,,submit,,                                ,post,{},False,,Not individually executed
CONTROL-00194,templates/pages/admin/users.html,141,button,button,Activate {{ partner.name }},,,submit,,                                ,post,{},False,,Not individually executed
CONTROL-00195,templates/pages/admin/users.html,146,button,button,Delete {{ partner.name }} permanently,,,button,,,,"{""@click"": ""\n                  partnerToDelete = $el.dataset.partnerId;\n                  partnerToDeleteName = $el.dataset.partnerName;\n                  partnerToDeleteHasHistory = $el.dataset.partnerHistory === '1';\n                  showPartnerDeleteModal = true\n                ""}",False,,Not individually executed
CONTROL-00196,templates/pages/admin/users.html,192,field,select,All Roles {{ r }},,role,,,/admin-panel/users,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-00197,templates/pages/admin/users.html,201,field,select,All Statuses Active Inactive,,status,,,/admin-panel/users,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-00198,templates/pages/admin/users.html,208,link,a,Clear filters,,,,/admin-panel/users               ?q={{ search }}           ,/admin-panel/users,get,{},False,,Not individually executed
CONTROL-00199,templates/pages/admin/users.html,268,link,a,Configure,,,,                                           ,,,{},False,,Not individually executed
CONTROL-00200,templates/pages/admin/users.html,322,button,button,Cancel,,,button,,                                ,post,"{""@click"": ""showPartnerDeleteModal = false""}",False,,Not individually executed
CONTROL-00201,templates/pages/admin/users.html,323,button,button,Delete Permanently,,,submit,,                                ,post,{},False,,Not individually executed
CONTROL-00202,templates/pages/admin/users.html,355,button,button,Close create user dialog,,,button,,,,"{""@click"": ""showAddModal = false""}",False,,Not individually executed
CONTROL-00203,templates/pages/admin/users.html,369,field,input,e.g. John Doe,new-user-name,name,text,,                                ,POST,{},False,,Not individually executed
CONTROL-00204,templates/pages/admin/users.html,381,field,input,johndoe@edify.org,new-user-email,email,email,,                                ,POST,{},False,,Not individually executed
CONTROL-00205,templates/pages/admin/users.html,393,field,input,+256...,new-user-phone,phone,text,,                                ,POST,{},False,,Not individually executed
CONTROL-00206,templates/pages/admin/users.html,404,field,input,Leave blank to send an invitation instead,new-user-password,password,password,,                                ,POST,{},False,,Not individually executed
CONTROL-00207,templates/pages/admin/users.html,416,field,select,Supervisor staff ID,new-user-supervisor,supervisor_staff_id,,,                                ,POST,{},False,,Not individually executed
CONTROL-00208,templates/pages/admin/users.html,432,field,select,Role,new-user-role,role,,,                                ,POST,{},False,,Not individually executed
CONTROL-00209,templates/pages/admin/users.html,447,field,select,Primary district,new-user-primary-district,primary_district,,,                                ,POST,{},False,,Not individually executed
CONTROL-00210,templates/pages/admin/users.html,476,field,input,{{ person.id }},new-manager-person-{{ person.id }},managed_staff_ids,checkbox,,                                ,POST,{},False,,Not individually executed
CONTROL-00211,templates/pages/admin/users.html,501,field,input,{{ d.id }},,additional_districts,checkbox,,                                ,POST,{},False,,Not individually executed
CONTROL-00212,templates/pages/admin/users.html,518,field,input,{{ r }},,additional_roles,checkbox,,                                ,POST,{},False,,Not individually executed
CONTROL-00213,templates/pages/admin/users.html,531,button,button,Cancel,,,button,,                                ,POST,"{""@click"": ""showAddModal = false""}",False,,Not individually executed
CONTROL-00214,templates/pages/admin/users.html,538,button,button,Provision & Set Password,,,submit,,                                ,POST,{},False,,Not individually executed
CONTROL-00215,templates/pages/admin_ops/_work_section.html,24,link,a,Incident,,,,/admin-ops/incidents/{{ item.incident_id }},,,{},False,,Not individually executed
CONTROL-00216,templates/pages/admin_ops/_work_section.html,31,button,button,"{{ item.next_action|default:""Start"" }}",,,submit,,/admin-ops/work-items/{{ item.id }}/start,post,{},False,,Not individually executed
CONTROL-00217,templates/pages/admin_ops/_work_section.html,37,field,input,How was this verified?,verify-{{ item.id }},verification_note,,,/admin-ops/work-items/{{ item.id }}/complete,post,{},False,,Not individually executed
CONTROL-00218,templates/pages/admin_ops/_work_section.html,38,button,button,Complete,,,submit,,/admin-ops/work-items/{{ item.id }}/complete,post,{},False,,Not individually executed
CONTROL-00219,templates/pages/admin_ops/data_repair.html,23,link,a,Dry Run,,,,/data-repair?repair={{ repair.key }},,,{},False,,Not individually executed
CONTROL-00220,templates/pages/admin_ops/data_repair.html,48,field,input,Why is this repair being made?,repair-reason,reason,,,/data-repair/{{ preview.key }}/apply,post,{},False,,Not individually executed
CONTROL-00221,templates/pages/admin_ops/data_repair.html,49,button,button,Apply Repair Refer for Correction,,,submit,,/data-repair/{{ preview.key }}/apply,post,{},False,,Not individually executed
CONTROL-00222,templates/pages/admin_ops/incident_detail.html,30,link,a,Open Affected Route,,,,{{ incident.affected_route }},,,{},False,,Not individually executed
CONTROL-00223,templates/pages/admin_ops/incident_detail.html,38,button,button,Acknowledge Incident,,,submit,,/admin-ops/incidents/{{ incident.id }}/acknowledge,post,{},False,,Not individually executed
CONTROL-00224,templates/pages/admin_ops/incident_detail.html,44,field,input,What resolved it?,incident-note,note,,,/admin-ops/incidents/{{ incident.id }}/resolve,post,{},False,,Not individually executed
CONTROL-00225,templates/pages/admin_ops/incident_detail.html,45,button,button,Resolve,,,submit,,/admin-ops/incidents/{{ incident.id }}/resolve,post,{},False,,Not individually executed
CONTROL-00226,templates/pages/admin_ops/incidents.html,12,link,a,"{{ incident.get_severity_display }} {{ incident.reference }} {{ incident.get_status_display }} seen {{ incident.occurrence_count }}× reopened {{ incident.reopened_count }}× {{ incident.title }} · last seen {{ incident.last_detected_at|date:""d M H:i"" ",,,,/admin-ops/incidents/{{ incident.id }},,,{},False,,Not individually executed
CONTROL-00227,templates/pages/admin_ops/planning.html,34,field,input,,sched-{{ item.id }},scheduled_date,date,,/admin-ops/work-items/{{ item.id }}/schedule,post,{},False,,Not individually executed
CONTROL-00228,templates/pages/admin_ops/planning.html,35,button,button,Schedule,,,submit,,/admin-ops/work-items/{{ item.id }}/schedule,post,{},False,,Not individually executed
CONTROL-00229,templates/pages/admin_ops/planning.html,49,link,a,{{ incident.reference }} seen {{ incident.occurrence_count }}× {{ incident.title }},,,,/admin-ops/incidents/{{ incident.id }},,,{},False,,Not individually executed
CONTROL-00230,templates/pages/admin_ops/planning.html,72,field,select,{{ label }},sev-{{ ticket.id }},severity,,,/admin-ops/tickets/{{ ticket.id }}/triage,post,{},False,,Not individually executed
CONTROL-00231,templates/pages/admin_ops/planning.html,75,button,button,Triage,,,submit,,/admin-ops/tickets/{{ ticket.id }}/triage,post,{},False,,Not individually executed
CONTROL-00232,templates/pages/admin_ops/report_problem.html,21,field,input,The Schedule button does nothing,,title,,,/support,post,{},False,,Not individually executed
CONTROL-00233,templates/pages/admin_ops/report_problem.html,25,field,select,{{ label }},,category,,,/support,post,{},False,,Not individually executed
CONTROL-00234,templates/pages/admin_ops/report_problem.html,31,field,select,{{ label }},,urgency,,,/support,post,{},False,,Not individually executed
CONTROL-00235,templates/pages/admin_ops/report_problem.html,37,field,textarea,"What were you trying to do, and what did you see instead?",,description,,,/support,post,{},False,,Not individually executed
CONTROL-00236,templates/pages/admin_ops/report_problem.html,39,button,button,Send to the platform team,,,submit,,/support,post,{},False,,Not individually executed
CONTROL-00237,templates/pages/admin_ops/support_queue.html,32,field,input,What was fixed?,res-{{ ticket.id }},resolution,,,/admin-ops/tickets/{{ ticket.id }}/resolve,post,{},False,,Not individually executed
CONTROL-00238,templates/pages/admin_ops/support_queue.html,33,button,button,Resolve,,,submit,,/admin-ops/tickets/{{ ticket.id }}/resolve,post,{},False,,Not individually executed
CONTROL-00239,templates/pages/admin_ops/team_plans.html,24,field,select,All roles {{ r }},,role,,,,get,{},False,,Not individually executed
CONTROL-00240,templates/pages/admin_ops/team_plans.html,30,field,select,All types {{ t }},,activity_type,,,,get,{},False,,Not individually executed
CONTROL-00241,templates/pages/admin_ops/team_plans.html,36,field,select,All states {{ s }},,status,,,,get,{},False,,Not individually executed
